FirstName,LastName,Height,Weight,Age,Position,College,Experience,Team,InsideScoring,Jumpshot,3P,Handling,Passing,Quickness,PostD,PerimeterD,DriveD,Stealing,Blocking,Oreb,Dreb,Jumping,Strength,Potential,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7
 
Paul,Pierce,78,230,30,SG,Kansas,8,Celtics,66,72,82,38,43,79,47,50,47,54,16,18,51,87,60,52,15101626,16360095,18077903,19795712,21513521,0,0
Al,Jefferson,82,256,22,PF,Prentiss HS (MS),2,Celtics,85,60,5,46,28,50,72,20,62,45,67,74,83,63,89,87,1618320,2480884,0,0,0,0,0
Ryan,Gomes,79,250,25,SF,Providence,1,Celtics,49,73,37,57,35,58,46,37,35,45,11,44,51,60,67,74,664209,770610,0,0,0,0,0
Delonte,West,76,180,24,PG,Saint Joseph's,2,Celtics,44,77,73,63,61,78,37,58,53,58,31,12,32,66,41,72,1080480,1889759,0,0,0,0,0
Gerald,Green,80,200,21,SG,Gulf Shores Academy (TX),1,Celtics,41,73,75,44,27,69,32,30,46,51,25,28,32,70,47,83,1347000,1440960,0,0,0,0,0
Rajon,Rondo,73,171,21,PG,Kentucky,0,Celtics,55,57,13,58,57,75,30,68,68,83,9,29,45,57,47,99,1143600,1372320,0,0,0,0,0
Wally,Szczerbiak,79,244,30,SF,Miami (Ohio),7,Celtics,53,82,85,50,25,65,41,34,42,51,20,22,40,66,60,54,11000000,12000000,13000000,0,0,0,0
Sebastian,Telfair,72,160,22,PG,Abraham Lincoln HS (Brooklyn NY),2,Celtics,41,74,49,64,50,79,21,39,46,55,13,10,25,55,35,83,1793160,2562425,0,0,0,0,0
Tony,Allen,76,213,25,SG,Oklahoma State,2,Celtics,58,70,27,36,27,71,37,62,64,76,25,29,40,79,53,83,1037280,1868141,0,0,0,0,0
Kendrick,Perkins,82,280,23,C,Clifton J. Ozen HS (TX),3,Celtics,50,52,5,43,31,34,59,17,67,39,74,55,62,43,86,79,1689409,4480912,4078880,4250000,4390208,0,0
Allan,Ray,74,190,23,SG,Villanova,0,Celtics,36,68,79,50,25,71,27,40,49,56,14,20,31,65,45,93,412718,687456,0,0,0,0,0
Leon,Powe,80,240,23,PF,California,0,Celtics,50,66,5,41,11,45,53,27,53,47,55,80,60,72,74,76,432718,687456,797581,0,0,0,0
Brian,Scalabrine,81,235,29,PF,USC,5,Celtics,40,70,76,58,27,39,43,21,46,49,46,28,38,45,61,51,2793103,3000000,3206897,3413793,0,0,0
Michael,Olowokandi,84,270,32,C,U. of Pacific,8,Celtics,48,45,5,45,7,35,56,24,65,49,69,49,51,42,78,52,1065918,0,0,0,0,0,0
Kevinn,Pinkney,82,245,24,PF,Nevada-Reno,0,FA,54,45,16,58,12,42,53,27,52,50,52,47,44,54,66,91,0,0,0,0,0,0,0
Theo,Ratliff,82,235,34,C,Wyoming,11,Celtics,45,45,5,46,5,36,57,17,57,36,57,36,37,40,63,51,11666666,11666666,0,0,0,0,0
Dwyane,Wade,76,212,25,PG,Marquette,3,Heat,92,73,45,53,64,96,51,77,71,76,51,20,38,96,47,81,3841442,12455000,13762775,15070550,0,0,0
Udonis,Haslem,80,235,27,PF,Florida,3,Heat,64,60,5,56,29,44,55,23,25,44,21,55,70,50,78,62,5525000,6050000,6575000,7100000,0,0,0
Jason,Kapono,80,215,26,SF,UCLA,3,Heat,43,81,100,59,26,60,34,33,37,49,9,16,37,51,55,72,1188000,0,0,0,0,0,0
Shaquille,O'Neal,85,325,35,C,Louisiana State,14,Heat,86,34,5,41,30,46,64,5,63,34,70,63,65,66,95,50,20000000,20000000,20000000,20000000,0,0,0
Jason,Williams,73,180,32,PG,Florida,8,Heat,42,83,70,78,59,80,26,61,47,58,5,9,28,48,38,48,8250000,8937500,0,0,0,0,0
Alonzo,Mourning,82,261,37,C,Georgetown,13,Heat,66,52,5,32,13,44,67,11,81,33,93,60,55,68,78,51,2500000,2762500,0,0,0,0,0
Antoine,Walker,81,245,31,SF,Kentucky,10,Heat,45,36,56,42,34,56,46,33,44,53,22,39,53,56,68,52,7773500,8547000,9320500,0,0,0,0
James,Posey,80,217,30,SF,Xavier (Ohio),7,Heat,38,75,76,67,28,55,47,45,51,61,26,29,58,56,66,48,6392100,0,0,0,0,0,0
Dorell,Wright,80,205,22,PF,South Kent Prep HS (Lawndale CA),2,Heat,54,66,14,57,31,45,61,38,57,55,57,32,64,53,70,93,1104300,1700622,0,0,0,0,0
Gary,Payton,76,190,39,PG,Oregon State,16,Heat,42,59,47,81,49,67,25,45,46,56,5,11,31,46,41,49,1200000,0,0,0,0,0,0
Eddie,Jones,78,200,36,SG,Temple,12,Heat,36,71,72,71,34,62,34,59,56,66,14,16,39,60,51,50,589174,0,0,0,0,0,0
Michael,Doleac,83,262,30,C,Utah,8,Heat,45,80,5,53,16,39,56,25,58,49,60,54,61,43,83,49,2880000,0,0,0,0,0,0
Chris,Quinn,74,185,24,PG,Notre Dame,0,Heat,38,60,56,76,35,77,25,61,50,61,6,12,23,53,37,93,412748,0,0,0,0,0,0
Earl,Barron,84,245,26,C,Memphis,1,Heat,40,86,5,50,8,39,56,20,58,47,60,54,48,46,71,72,744551,0,0,0,0,0,0
Robert,Hite,74,184,23,SG,Miami (Fla.),0,FA,48,59,23,58,14,69,33,53,47,53,21,19,31,67,44,98,0,0,0,0,0,0,0
Wayne,Simien,81,250,24,SF,Kansas,1,Heat,45,45,5,60,11,53,38,31,42,52,20,33,35,58,58,78,932760,997800,0,0,0,0,0
Vince,Carter,78,220,30,SG,North Carolina,8,Nets,72,72,75,51,57,81,42,35,45,51,19,29,49,87,58,50,15101626,0,0,0,0,0,0
Jason,Kidd,76,210,34,PG,California,12,Nets,46,70,71,72,90,74,61,72,58,68,16,37,50,57,65,51,18084000,19728000,21372000,0,0,0,0
Richard,Jefferson,79,230,27,SF,Arizona,5,Nets,59,65,72,51,35,63,41,39,35,45,13,23,41,77,59,66,11200000,12200000,13200000,14200000,15000000,0,0
Mikki,Moore,84,223,32,PF,Nebraska,8,Nets,69,60,5,48,27,44,47,27,52,47,53,51,46,58,64,52,1070000,0,0,0,0,0,0
Bostjan,Nachbar,81,221,27,SF,Slovenia,4,Nets,42,72,86,54,24,62,48,23,43,47,34,18,57,65,67,65,2500000,2500000,0,0,0,0,0
Marcus,Williams,75,205,22,PG,Connecticut,0,Nets,41,77,54,45,57,79,33,47,44,52,6,17,38,51,46,89,1097880,1180200,0,0,0,0,0
Eddie,House,73,175,29,SG,Arizona State,6,Nets,37,84,87,71,27,76,30,56,49,57,13,15,33,60,45,55,1500000,0,0,0,0,0,0
Nenad,Krstic,84,260,24,C,Serbia & Montenegro,2,Nets,71,63,5,49,22,45,60,12,58,39,63,52,59,52,80,69,1080480,1889759,0,0,0,0,0
Antoine,Wright,79,215,23,SF,Texas A&M,1,Nets,40,52,45,59,24,54,42,34,45,54,24,29,48,58,61,77,1570920,1680600,0,0,0,0,0
Josh,Boone,82,245,23,PF,Connecticut,0,Nets,58,46,5,46,11,45,54,25,53,45,55,63,61,62,75,70,1053960,1133040,0,0,0,0,0
Clifford,Robinson,82,245,41,PF,Connecticut,17,Nets,46,36,61,64,22,40,51,18,50,42,52,36,45,49,66,50,1600000,1768000,0,0,0,0,0
Hassan,Adams,76,220,23,SF,Arizona,0,Nets,47,59,5,51,12,59,39,43,47,57,24,36,34,59,55,90,412718,687456,0,0,0,0,0
Jason,Collins,84,260,29,PF,Stanford,5,Nets,42,38,5,54,18,22,45,26,46,47,45,39,48,50,71,54,5800000,6100000,6200000,0,0,0,0
Bernard,Robinson,78,210,27,SG,Michigan,2,Nets,36,77,5,54,21,60,37,60,60,71,16,20,35,68,50,74,1000000,1105000,0,0,0,0,0
Mile,Ilic,85,255,23,C,Serbia & Montenegro,0,Nets,40,45,5,30,5,31,54,8,52,34,51,33,37,38,68,81,800000,864000,0,0,0,0,0
Eddy,Curry,83,285,25,C,Thornwood HS (IL),5,Knicks,90,53,16,12,21,48,50,8,29,34,28,50,49,64,79,72,8171103,8947543,9723983,0,0,0,0
Stephon,Marbury,74,205,30,PG,Georgia Tech,10,Knicks,50,69,73,63,64,85,27,46,42,51,7,10,26,64,40,48,17275781,0,0,0,0,0,0
